sample_name,experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,library_ID,ERCC,TSO,input_volume
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo3,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,LYS23A,Yes,TSO-3,75
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo4,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,LYS23A,Yes,TSO-4,75
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo5,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,LYS23A,Yes,TSO-5,75
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo6,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,LYS23A,Yes,TSO-6,75
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo7,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,LYS23A,Yes,TSO-7,75
polysome_786O_noVHL_EIF4E2_NA_1_NA_ribo8,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,LYS23A,Yes,TSO-8,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo1,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo1,LYS23D,Yes,TSO-16,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo2,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo2,LYS23D,Yes,TSO-15,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo3,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo3,LYS23D,Yes,TSO-14,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo4,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo4,LYS23D,Yes,TSO-13,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo5,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo5,LYS23D,Yes,TSO-12,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo6,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo6,LYS23D,Yes,TSO-11,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo7,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo7,LYS23D,Yes,TSO-10,75
polysome_786O_noVHL_EIF4E2_NA_2_NA_ribo8,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,2,NA,ribo8,LYS23D,Yes,TSO-9,75
polysome_786O_noVHL_EIF4E2_NA_4_NA_ribo1,polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,LYS23E,Yes,TSO-9,150
