sample_name,experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,library_ID,ERCC,TSO,input_volume
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo2,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,LYS23O,Yes,TSO-10,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo3,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,LYS23O,Yes,TSO-11,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo4,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,LYS23O,Yes,TSO-12,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo5,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo5,LYS23O,Yes,TSO-13,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo6,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo6,LYS23O,Yes,TSO-14,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo7,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo7,LYS23O,Yes,TSO-15,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo8,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo8,LYS23O,Yes,TSO-16,150
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo1,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,LYS23A,Yes,TSO-9,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo2,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,LYS23A,Yes,TSO-10,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo3,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,LYS23A,Yes,TSO-11,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo4,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,LYS23A,Yes,TSO-12,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo5,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,LYS23A,Yes,TSO-13,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo6,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,LYS23A,Yes,TSO-14,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo7,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,LYS23A,Yes,TSO-15,75
polysome_786O_VHL_EIF4E2_NA_1_NA_ribo8,polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,LYS23A,Yes,TSO-16,75
